timestamp,open,high,low,close,volume
2024-03-01T00:00:00,61130.990000,63114.230000,60777.000000,62387.900000,47737.934730
2024-03-02T00:00:00,62387.900000,62433.190000,61561.120000,61987.280000,25534.736590
2024-03-03T00:00:00,61987.280000,63231.880000,61320.000000,63113.970000,28994.909030
2024-03-04T00:00:00,63113.970000,68499.000000,62300.000000,68245.710000,84835.160050
2024-03-05T00:00:00,68245.710000,69000.000000,59005.000000,63724.010000,132696.781300
2024-03-06T00:00:00,63724.010000,67641.100000,62779.140000,66074.040000,78738.854910
2024-03-07T00:00:00,66074.040000,67980.000000,65551.000000,66823.170000,53059.886900
2024-03-08T00:00:00,66823.180000,69990.000000,66082.660000,68124.190000,74261.932842
2024-03-09T00:00:00,68124.200000,68541.100000,67861.100000,68313.270000,19872.897430
2024-03-10T00:00:00,68313.280000,69887.610000,68094.750000,68955.880000,38404.668350
2024-03-11T00:00:00,68955.880000,72800.000000,67024.960000,72078.100000,75292.825726
2024-03-12T00:00:00,72078.100000,73000.000000,68620.820000,71452.010000,68783.546691
2024-03-13T00:00:00,71452.000000,73650.250000,71333.310000,73072.410000,52659.711647
2024-03-14T00:00:00,73072.400000,73777.000000,68555.000000,71388.940000,71757.628746
2024-03-15T00:00:00,71388.940000,72419.710000,65600.000000,69499.850000,103334.035460
2024-03-16T00:00:00,69499.840000,70043.000000,64780.000000,65300.630000,55926.953360
2024-03-17T00:00:00,65300.640000,68904.400000,64533.000000,68393.480000,49742.215890
2024-03-18T00:00:00,68393.470000,68956.000000,66565.200000,67609.990000,55691.080880
2024-03-19T00:00:00,67610.000000,68124.110000,61555.000000,61937.400000,101005.324870
2024-03-20T00:00:00,61937.410000,68100.000000,60775.000000,67840.510000,90420.585920
2024-03-21T00:00:00,67840.510000,68240.470000,64529.010000,65501.270000,53357.480020
2024-03-22T00:00:00,65501.280000,66649.620000,62260.000000,63796.640000,51482.378210
2024-03-23T00:00:00,63796.640000,65999.000000,63000.000000,63990.010000,26410.114090
2024-03-24T00:00:00,63990.020000,67628.690000,63772.290000,67209.990000,31395.780150
2024-03-25T00:00:00,67210.000000,71150.000000,66385.060000,69880.010000,53431.144860
2024-03-26T00:00:00,69880.000000,71561.100000,69280.000000,69988.000000,38934.384170
2024-03-27T00:00:00,69987.990000,71769.540000,68359.180000,69469.990000,49119.356850
2024-03-28T00:00:00,69469.990000,71552.060000,68903.620000,70780.600000,35439.032390
2024-03-29T00:00:00,70780.600000,70916.160000,69009.000000,69850.540000,25445.083530
2024-03-30T00:00:00,69850.530000,70321.100000,69540.000000,69582.180000,13644.611420
2024-03-31T00:00:00,69582.170000,71366.000000,69562.990000,71280.010000,19396.344330
2024-04-01T00:00:00,71280.000000,71288.230000,68062.860000,69649.800000,41445.320390
2024-04-02T00:00:00,69649.810000,69674.230000,64550.000000,65463.990000,71799.827930
2024-04-03T00:00:00,65463.990000,66903.630000,64493.070000,65963.280000,39887.217780
2024-04-04T00:00:00,65963.270000,69309.910000,65064.520000,68487.790000,41510.484530
2024-04-05T00:00:00,68487.800000,68756.670000,65952.560000,67820.620000,37915.230730
2024-04-06T00:00:00,67820.630000,69692.000000,67447.830000,68896.000000,20134.289190
2024-04-07T00:00:00,68896.000000,70326.290000,68824.000000,69360.390000,21534.744330
2024-04-08T00:00:00,69360.380000,72797.990000,69043.240000,71620.000000,45723.876240
2024-04-09T00:00:00,71620.000000,71758.190000,68210.000000,69146.000000,39293.902420
2024-04-10T00:00:00,69146.000000,71172.080000,67518.000000,70631.080000,42006.023770
2024-04-11T00:00:00,70631.080000,71305.890000,69567.210000,70006.230000,31917.255950
2024-04-12T00:00:00,70006.220000,71227.460000,65086.860000,67116.520000,56072.862290
2024-04-13T00:00:00,67116.520000,67929.000000,60660.570000,63924.510000,71395.220190
